player,perc_1st_serve,perc_1st_serve_points_won,perc_2nd_serve_points_won,perc_service_games_won,avg_aces__match,avg_double_faults_match,perc_1st_serve_return_points_won,perc_2nd_serve_return_points_won,perc_return_games_won,perc_break_points_converted,perc_break_points_saved,perc_tie_breaks_won,perc_deciding_sets_won,Score,Ranking
Rafael Nadal,1.2790697674418605,1.255813953488372,1.7674418604651163,1.7209302325581395,-7.837209302325581,-8.511627906976743,2.104651162790698,1.9534883720930232,2.7790697674418605,1.930232558139535,0.9534883720930233,4.325581395348837,3.4186046511627906,1.9267999999999998,57
Alex de Minaur,-0.7325581395348837,-0.46511627906976744,0.3372093023255814,-0.27906976744186046,-19.337209302325583,6.627906976744186,0.9534883720930233,0.8255813953488372,1.4069767441860466,1.069767441860465,0.2558139534883721,1.1162790697674418,0.27906976744186046,1.9262000000000001,58
Carlos Alcaraz,1.3837209302325582,0.9534883720930233,1.7906976744186047,1.7906976744186047,-18.162790697674417,1.7674418604651163,1.9651162790697674,1.7325581395348837,2.546511627906977,0.9302325581395349,1.7093023255813953,1.7790697674418605,2.9069767441860463,1.9084,59
Tommy Paul,0.0,0.29069767441860467,0.3953488372093023,0.3488372093023256,-18.11627906976744,2.1511627906976742,0.9186046511627907,0.3023255813953488,0.8953488372093024,0.37209302325581395,0.3953488372093023,-0.23255813953488372,0.8604651162790697,1.9034,60
Alex Molcan,0.7093023255813954,-0.6744186046511628,0.7093023255813954,-0.47674418604651164,-22.686046511627907,6.069767441860465,0.6046511627906976,0.5813953488372093,0.3953488372093023,0.37209302325581395,-0.19767441860465115,0.29069767441860467,-0.16279069767441862,1.8951999999999998,61
Lorenzo Musetti,0.627906976744186,0.3372093023255814,0.7790697674418605,0.4069767441860465,-24.023255813953487,5.813953488372093,0.5581395348837209,0.4883720930232558,0.6046511627906976,0.9651162790697675,0.1511627906976744,0.06976744186046512,0.8372093023255814,1.8609999999999998,62
Richard Gasquet,0.08139534883720931,0.47674418604651164,0.47674418604651164,0.4186046511627907,-10.406976744186046,-13.069767441860465,0.38372093023255816,0.686046511627907,0.5465116279069767,0.3953488372093023,0.29069767441860467,0.45348837209302323,0.46511627906976744,1.8147999999999995,63
Yoshihito Nishioka,0.872093023255814,-0.023255813953488372,0.9186046511627907,0.23255813953488372,-34.48837209302326,14.069767441860465,0.13953488372093023,0.9418604651162791,0.5,0.7325581395348837,0.3953488372093023,0.6744186046511628,1.1511627906976745,1.7864000000000002,64
Tomas Martin Etcheverry,1.872093023255814,0.03488372093023256,0.2558139534883721,0.046511627906976744,-19.75581395348837,-0.011627906976744186,0.16279069767441862,0.11627906976744186,0.1744186046511628,0.37209302325581395,0.37209302325581395,0.4883720930232558,0.4418604651162791,1.7136,65
Roberto Bautista Agut,0.7325581395348837,0.08139534883720931,0.6395348837209303,0.4418604651162791,-31.558139534883722,8.813953488372093,0.2441860465116279,1.1046511627906976,1.0348837209302326,0.023255813953488372,-0.011627906976744186,0.4418604651162791,-0.37209302325581395,1.7124000000000004,66
David Goffin,-0.3023255813953488,0.3372093023255814,0.23255813953488372,-0.29069767441860467,-16.511627906976745,-10.569767441860465,0.7790697674418605,0.4418604651162791,0.7790697674418605,0.38372093023255816,0.13953488372093023,-0.06976744186046512,-0.7093023255813954,1.6951999999999998,67
Joao Sousa,0.23255813953488372,0.23255813953488372,0.27906976744186046,0.19767441860465115,-25.441860465116278,0.5930232558139535,0.5930232558139535,0.5232558139534884,0.43023255813953487,0.1744186046511628,0.08139534883720931,-0.9767441860465116,0.19767441860465115,1.6650000000000003,68
Holger Rune,0.5348837209302325,0.5697674418604651,0.7209302325581395,0.686046511627907,-19.08139534883721,-12.232558139534884,0.4883720930232558,0.6162790697674418,0.47674418604651164,0.6395348837209303,0.8023255813953488,0.6395348837209303,0.47674418604651164,1.627,69
Albert Ramos-Vinolas,0.8837209302325582,0.13953488372093023,0.43023255813953487,0.20930232558139536,-33.72093023255814,7.627906976744186,0.7558139534883721,0.8488372093023255,0.7558139534883721,0.8488372093023255,0.5930232558139535,0.5348837209302325,0.4418604651162791,1.4606,70
Emil Ruusuvuori,0.8488372093023255,0.09302325581395349,0.37209302325581395,0.09302325581395349,-23.91860465116279,-5.488372093023256,0.7558139534883721,0.7790697674418605,0.7093023255813954,0.5,0.1744186046511628,0.7674418604651163,-0.5348837209302325,1.4490000000000005,71
Marton Fucsovics,0.2558139534883721,0.38372093023255816,0.5116279069767442,0.4186046511627907,-17.08139534883721,-12.616279069767442,0.4186046511627907,0.29069767441860467,0.26744186046511625,0.12790697674418605,0.3953488372093023,0.09302325581395349,0.3372093023255814,1.3136000000000003,72
Alejandro Davidovich Fokina,0.8953488372093024,0.08139534883720931,0.6511627906976745,0.12790697674418605,-27.127906976744185,0.5813953488372093,0.8023255813953488,0.4883720930232558,0.8023255813953488,0.5930232558139535,0.023255813953488372,0.12790697674418605,0.3023255813953488,1.239,73
Jaume Munar,0.45348837209302323,0.20930232558139536,0.09302325581395349,0.12790697674418605,-20.058139534883722,-7.651162790697675,0.9418604651162791,0.3953488372093023,0.813953488372093,0.1744186046511628,0.1744186046511628,0.046511627906976744,0.046511627906976744,1.1243999999999996,74
