player,perc_1st_serve,perc_1st_serve_points_won,perc_2nd_serve_points_won,perc_service_games_won,avg_aces__match,avg_double_faults_match,perc_1st_serve_return_points_won,perc_2nd_serve_return_points_won,perc_return_games_won,perc_break_points_converted_x,perc_break_points_converted_y,perc_break_points_saved,perc_tie_breaks_won,perc_deciding_sets_won,Score,Ranking
Lorenzo Musetti,0.627906976744186,0.313953488372093,0.7790697674418605,0.32558139534883723,-24.313953488372093,5.5813953488372094,0.5581395348837209,0.4883720930232558,0.6046511627906976,0.9651162790697675,0.9651162790697675,0.05813953488372093,-0.3023255813953488,0.6395348837209303,1.9535999999999998,62
Richard Gasquet,0.08139534883720931,0.47674418604651164,0.47674418604651164,0.4186046511627907,-10.313953488372093,-12.988372093023257,0.38372093023255816,0.7093023255813954,0.5581395348837209,0.3953488372093023,0.3953488372093023,0.29069767441860467,0.5232558139534884,0.5348837209302325,1.8923999999999994,63
Yoshihito Nishioka,0.872093023255814,-0.1744186046511628,0.9186046511627907,0.18604651162790697,-34.56976744186046,14.023255813953488,0.13953488372093023,0.9418604651162791,0.5,0.7325581395348837,0.7325581395348837,0.3953488372093023,0.6395348837209303,1.0465116279069768,1.8696000000000002,64
Roberto Bautista Agut,1.4651162790697674,0.872093023255814,1.4069767441860466,1.2674418604651163,-30.53488372093023,9.813953488372093,0.9069767441860465,2.0232558139534884,1.8837209302325582,0.6976744186046512,0.6976744186046512,0.7674418604651163,1.4069767441860466,0.5813953488372093,1.7906000000000004,65
Tomas Martin Etcheverry,1.127906976744186,-0.8953488372093024,-0.4418604651162791,-0.9069767441860465,-20.558139534883722,-0.6744186046511628,-0.686046511627907,-0.8023255813953488,-0.7674418604651163,-0.4418604651162791,-0.4418604651162791,-0.43023255813953487,-0.43023255813953487,-0.46511627906976744,1.7868,66
David Goffin,-0.5465116279069767,0.2441860465116279,0.20930232558139536,-0.43023255813953487,-16.453488372093023,-10.476744186046512,0.7790697674418605,0.4418604651162791,0.7674418604651163,0.3488372093023256,0.3488372093023256,0.08139534883720931,-0.16279069767441862,-0.8604651162790697,1.773,67
Joao Sousa,0.23255813953488372,0.23255813953488372,0.27906976744186046,0.23255813953488372,-25.25581395348837,0.9534883720930233,0.5930232558139535,0.5232558139534884,0.4418604651162791,0.1744186046511628,0.1744186046511628,0.08139534883720931,-0.7790697674418605,0.313953488372093,1.7374000000000003,68
Holger Rune,0.5348837209302325,0.5697674418604651,0.7209302325581395,0.686046511627907,-19.058139534883722,-12.186046511627907,0.4883720930232558,0.6162790697674418,0.47674418604651164,0.6395348837209303,0.6395348837209303,0.8023255813953488,0.6046511627906976,0.3953488372093023,1.7088,69
Albert Ramos-Vinolas,0.7790697674418605,0.13953488372093023,0.4186046511627907,0.18604651162790697,-33.72093023255814,7.5813953488372094,0.6976744186046512,0.8023255813953488,0.7093023255813954,0.7906976744186046,0.7906976744186046,0.5348837209302325,0.4883720930232558,0.43023255813953487,1.5435999999999999,70
Emil Ruusuvuori,0.8488372093023255,0.18604651162790697,0.38372093023255816,0.20930232558139536,-23.906976744186046,-5.383720930232558,0.7558139534883721,0.7790697674418605,0.7325581395348837,0.5232558139534884,0.5232558139534884,0.20930232558139536,0.7906976744186046,-0.4883720930232558,1.5284000000000004,71
Marton Fucsovics,0.2558139534883721,0.38372093023255816,0.5116279069767442,0.4186046511627907,-16.86046511627907,-12.220930232558139,0.4186046511627907,0.29069767441860467,0.26744186046511625,0.12790697674418605,0.12790697674418605,0.3953488372093023,0.09302325581395349,0.3372093023255814,1.3850000000000002,72
